gene,damage_score,gnomAD_SAS_AF,Variant_Classification,log2FoldChange,padj,direction,MutExpress_Priority
BARHL2,3.0,0.0,Missense_Mutation,1.6188436946708,1.94002910061535e-06,UP,HIGH
BCAS1,3.0,0.0,"Missense_Mutation, Nonsense_Mutation, Splice_Site",2.42089151107938,2.5653948640903e-36,UP,HIGH
BEND2,3.0,0.0,Missense_Mutation,-1.62475217622241,4.8875028042055894e-11,DOWN,HIGH
BFSP2,3.0,0.0,Missense_Mutation,1.97138070059121,2.65246736455652e-24,UP,HIGH
BIN1,3.0,0.0,Missense_Mutation,-1.64745878758973,4.69367502499878e-48,DOWN,HIGH
BMP3,3.0,0.0,Missense_Mutation,-3.63365467339038,2.30609148018824e-50,DOWN,HIGH
BMPER,3.0,0.0,Missense_Mutation,-2.04699139143596,1.72698997883516e-27,DOWN,HIGH
BMPR1B,3.0,0.0,"Missense_Mutation, Frame_Shift_Del, Frame_Shift_Ins",4.22391700141048,8.48874405215229e-64,UP,HIGH
BMX,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.72108907524095,5.61115636774982e-91,DOWN,HIGH
BOC,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.65646349844564,9.06660594041501e-38,DOWN,HIGH
BOLL,3.0,0.0,Missense_Mutation,1.69437096847273,1.61489859878105e-11,UP,HIGH
BPIFB1,3.0,0.0,Missense_Mutation,3.35174971070436,5.15034069069267e-41,UP,HIGH
BRCA2,3.0,0.0,"Missense_Mutation, Frame_Shift_Del, In_Frame_Del, Nonsense_Mutation",1.51913879816756,7.08527484548624e-47,UP,HIGH
BRDT,3.0,0.0,Missense_Mutation,1.56486094338447,6.94757696279031e-12,UP,HIGH
BRIP1,3.0,0.0,"Missense_Mutation, In_Frame_Del",2.17805909825464,4.35770533059164e-83,UP,HIGH
BRSK2,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",2.88515679210216,6.09763280178118e-48,UP,HIGH
BTN1A1,3.0,0.0,Missense_Mutation,-1.7741084807129,1.6810634159956901e-21,DOWN,HIGH
BUB1,3.0,0.0,"Missense_Mutation, Splice_Site",3.27169522365811,4.8756984981043e-185,UP,HIGH
BUB1B,3.0,0.0,"Missense_Mutation, Frame_Shift_Del, Nonsense_Mutation",2.93997710717832,9.9011149776113e-173,UP,HIGH
C10orf82,3.0,0.0,Missense_Mutation,2.14016952457367,2.3887268227786597e-16,UP,HIGH
C12orf40,3.0,0.0,Missense_Mutation,-1.77488748068841,4.18703248026831e-07,DOWN,HIGH
C15orf48,3.0,0.0,Missense_Mutation,1.86646482481729,2.40242768298289e-34,UP,HIGH
C1QTNF9,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-3.22559585805146,1.00814370702442e-152,DOWN,HIGH
C1orf127,3.0,0.0,Missense_Mutation,1.59395681603825,2.06019256054497e-28,UP,HIGH
C1orf158,3.0,0.0,Missense_Mutation,2.421328679178,6.3534446965376e-11,UP,HIGH
C1orf94,3.0,0.0,Missense_Mutation,2.18218973929649,1.3360250038792101e-09,UP,HIGH
C5orf49,3.0,0.0,Missense_Mutation,1.54132263238877,8.35751627331267e-27,UP,HIGH
C6,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-3.17124128998091,4.72472165761925e-43,DOWN,HIGH
C6orf118,3.0,0.0,Missense_Mutation,2.05124366908368,2.24691034486124e-10,UP,HIGH
C6orf58,3.0,0.0,Missense_Mutation,-1.74046385368206,1.26550361122207e-15,DOWN,HIGH
CA9,3.0,0.0,"Missense_Mutation, In_Frame_Del",4.90500325510763,7.74250236412176e-68,UP,HIGH
CACNA1B,3.0,0.0,Missense_Mutation,2.28103271932973,1.51806570053157e-29,UP,HIGH
CACNA1E,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",1.5336762929326,6.58461804727131e-23,UP,HIGH
CACNA2D1,3.0,0.0,"Missense_Mutation, Splice_Site, In_Frame_Del",-2.14165961140504,2.52240682698677e-48,DOWN,HIGH
CACNG4,3.0,0.0,Missense_Mutation,2.37909789955124,1.20475774216534e-40,UP,HIGH
CADPS,3.0,0.0,"Missense_Mutation, Nonsense_Mutation, Splice_Site",2.08618059581742,2.6295179682498297e-43,UP,HIGH
CALHM1,3.0,0.0,Missense_Mutation,2.59557151379428,8.34960600460805e-36,UP,HIGH
CAPN11,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.36175541134662,5.6366567799854006e-68,DOWN,HIGH
CAPZA3,3.0,0.0,Missense_Mutation,-2.79253148383424,2.91105115315572e-25,DOWN,HIGH
CASQ2,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",-3.42411400430814,1.1707143503420101e-104,DOWN,HIGH
CBLN4,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.59597397062624,5.31807119464369e-25,DOWN,HIGH
CCDC150,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",1.62930548886899,3.1369424831280598e-43,UP,HIGH
CCDC151,3.0,0.0,Missense_Mutation,2.14899866330102,1.07535612754607e-40,UP,HIGH
CCDC3,3.0,0.0,Missense_Mutation,-2.84049670545971,1.67567005710681e-133,DOWN,HIGH
CCDC60,3.0,0.0,Missense_Mutation,3.15525768605145,9.68959343119709e-24,UP,HIGH
CCDC74A,3.0,0.0,Missense_Mutation,1.76629202168845,1.21921527292738e-24,UP,HIGH
CCDC78,3.0,0.0,Missense_Mutation,3.62245808472449,7.905601021638851e-120,UP,HIGH
CCDC8,3.0,0.0,Missense_Mutation,-1.7641958013652,1.64892650915646e-41,DOWN,HIGH
CCDC80,3.0,0.0,"Missense_Mutation, Frame_Shift_Ins",-1.74247202119255,1.31774930695499e-47,DOWN,HIGH
CCDC87,3.0,0.0,Missense_Mutation,1.60661285927492,8.94254795969219e-46,UP,HIGH
CCL20,3.0,0.0,Missense_Mutation,2.33169175214876,8.195430709712501e-32,UP,HIGH
CCL23,3.0,9.814e-05,Missense_Mutation,-2.03322515761094,8.58353555812475e-41,DOWN,HIGH
CCNB1,3.0,0.0,"Missense_Mutation, Splice_Site",2.54354368571502,1.37671234603252e-175,UP,HIGH
CD19,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",2.34458541397685,3.47763005306752e-27,UP,HIGH
CD1A,3.0,0.0,Missense_Mutation,3.10722012250365,2.0297947079312097e-40,UP,HIGH
CD34,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.13402820423408,1.7339878011807e-147,DOWN,HIGH
CDC20B,3.0,0.0,Missense_Mutation,6.63750665795553,8.36346970494722e-88,UP,HIGH
CDC25A,3.0,0.0,Missense_Mutation,2.14813095126027,2.0606635619638302e-76,UP,HIGH
CDC25C,3.0,0.0,Missense_Mutation,3.3844522061965,1.7973083692117802e-214,UP,HIGH
CDC45,3.0,0.0,Missense_Mutation,2.88369790566973,1.7064853854267803e-132,UP,HIGH
CDCA8,3.0,0.0,Missense_Mutation,2.99812360203524,4.76541300383299e-164,UP,HIGH
CDH11,3.0,0.0,Missense_Mutation,1.53979513516258,2.72473723988608e-44,UP,HIGH
CDH12,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.98070691604745,1.13494606845351e-23,DOWN,HIGH
CDH13,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.51506265530145,5.75230755598072e-72,DOWN,HIGH
CDH18,3.0,0.0,Missense_Mutation,2.22802170603406,7.48867728000916e-11,UP,HIGH
CDH2,3.0,0.0,Missense_Mutation,2.32744701542349,3.1169011820591196e-40,UP,HIGH
CDH20,3.0,0.0,Missense_Mutation,-3.28635314226318,3.14984419208993e-97,DOWN,HIGH
CDH23,3.0,0.0,Missense_Mutation,-1.9436814805054,4.0274667678014096e-64,DOWN,HIGH
CDH7,3.0,0.0,Missense_Mutation,3.18108512114984,5.179574030436e-29,UP,HIGH
CDK1,3.0,0.0,Missense_Mutation,3.13848661993865,1.4625453509145499e-195,UP,HIGH
