"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021536","diencephalon development","17/1572","83/18860",0.204819277108434,2.45731015665716,4.01227931591943,0.000421856321497229,0.00690434055799423,0.00554488105243155,"DRD2/GHRH/HAP1/HMGA2/KIAA0319/PTCHD1/SOX2/SOX3/ZEB2/ALDH1A2/CNTNAP2/POU4F1/PRDM13/BMP2/FGF2/GHRHR/SRD5A2",17
"GO:0030500","regulation of bone mineralization","17/1572","83/18860",0.204819277108434,2.45731015665716,4.01227931591943,0.000421856321497229,0.00690434055799423,0.00554488105243155,"ANO6/BMPR1B/CYP27B1/DDR2/ECM1/FBN2/NELL1/NOTUM/OSR1/PKDCC/S1PR1/COMP/GPM6B/ADRB2/BMP2/BMP6/KL",17
"GO:0035270","endocrine system development","24/1572","138/18860",0.173913043478261,2.08651399491094,3.8628867112492,0.000431940811062277,0.00702816812401915,0.00564432706307557,"CDH2/DRD2/GATA3/GHRH/HMGA2/IL6/MNX1/NKX2-2/ONECUT1/ONECUT2/SOX2/SOX3/ALDH1A2/ARID5B/CGA/HOXA5/APOA1/BMP2/BMP6/FGF2/GHRHR/NEUROD1/NR3C1/PDX1",24
"GO:0045931","positive regulation of mitotic cell cycle","24/1572","138/18860",0.173913043478261,2.08651399491094,3.8628867112492,0.000431940811062277,0.00702816812401915,0.00564432706307557,"ADAMTS1/ANXA1/AURKA/BRCA2/CCNB1/CDC25A/CDC25C/CDK1/CYP1A1/DDR2/EGFR/FOXA1/SKA1/SKA3/STIL/CCNE2/CDC20/CDC7/CHEK1/TERT/BIRC5/DLGAP5/DTL/ESPL1",24
"GO:0031589","cell-substrate adhesion","50/1572","369/18860",0.13550135501355,1.62567147299972,3.66009672046161,0.000435433683997888,0.00706440520462852,0.00567342908954408,"ACTN2/CCDC80/CD34/CDH11/CDH13/COL17A1/COL1A1/CORO2B/CX3CL1/DLC1/DMP1/EGFLAM/EPHB1/FAT2/FN1/FREM1/HOXA7/ITGA7/KANK1/ONECUT1/ONECUT2/POSTN/SORBS1/SVEP1/TEK/TNXB/TYRO3/VWF/ABI3BP/ANGPT1/CD36/EPDR1/FGG/GPM6B/NPNT/VIT/APOA1/CCL21/CCL25/CCL28/CCR7/ECM2/EGFL6/FERMT2/KIF14/LIMS2/LYVE1/MSLN/MYOC/RELL2",50
"GO:0006935","chemotaxis","61/1572","474/18860",0.128691983122363,1.5439763369515,3.61691893670419,0.000441443129697685,0.00712001864520592,0.00571809228515675,"ADAM8/ANO6/ANXA1/CCL20/CCL23/CDH13/CTSG/CX3CL1/CXCL2/CXCR3/DPEP1/DPP4/EDNRB/ELANE/ENPP2/EPHB1/FEZF2/FGF7/HOXB9/IL6/KIT/MET/NR4A1/P2RY12/PIK3C2G/PLXNA4/PPBP/ROBO2/ROBO3/S1PR1/SEMA3A/SEMA3D/SEMA3G/SEMA5B/SEMA6D/SLIT3/TBR1/ANGPT1/CCL11/EDN3/NRG1/PDGFD/PLAUR/PTGDR2/SLIT1/WNT7B/APOA1/CALCA/CCL13/CCL21/CCL25/CCL28/CCR7/CXCR5/EGR3/F7/FGF2/FLRT2/MMP28/PF4/SLAMF8",61
"GO:0015718","monocarboxylic acid transport","29/1572","180/18860",0.161111111111111,1.93292338139666,3.79233783151813,0.000442256882899466,0.00712001864520592,0.00571809228515675,"ABCB11/ABCD2/ACACB/AKR1C1/AKR1C4/ANXA1/CES1/DRD2/FABP9/NTSR1/PPARG/PTGS2/SLC16A12/SLC16A6/SLC16A7/SLC5A12/SLCO1C1/CD36/FABP4/ACSL1/DRD4/FABP6/PLA2G2D/PLA2G2F/PLA2G3/SLC10A6/SLC22A3/SLC5A8/SLCO1A2",29
"GO:0010712","regulation of collagen metabolic process","12/1572","48/18860",0.25,2.99936386768448,4.18223273636858,0.000442688849648173,0.00712001864520592,0.00571809228515675,"CREB3L1/CYP7A1/DDR2/F2/IL6/KLF15/MFAP4/SERPINB7/LARP6/AMELX/FAP/INHBA",12
"GO:0090307","mitotic spindle assembly","16/1572","76/18860",0.210526315789474,2.52578009910272,4.01899926324503,0.000446697172705684,0.00716384172663915,0.00575328663454569,"AURKB/CDCA8/KIF11/KIF15/KIF23/KIFC1/MYBL2/PLK1/PRC1/UHRF1/CDC20/KIF4B/TPX2/BIRC5/KIF4A/RACGAP1",16
"GO:0140694","membraneless organelle assembly","58/1572","446/18860",0.130044843049327,1.56020721368341,3.61039967128188,0.000463603395563152,0.00741366919953567,0.00595392326438818,"ACTN2/ANLN/ASPM/AURKA/AURKB/CCDC78/CDC20B/CDCA8/CENPE/CENPF/DIAPH3/FLNC/KIF11/KIF15/KIF23/KIFC1/KRT19/LDB3/LMOD1/MAPK15/MYBL2/MYH11/MYH6/MYOM1/MYOM2/PGM5/PLK1/PLK4/PRC1/PROX1/SIX4/SKA1/SKA3/SPAG5/SQLE/STIL/SYNPO2L/SYT1/TNNT1/UHRF1/VIL1/WDR62/C10orf90/CDC20/CENPK/CFL2/KIF4B/MYOZ2/TMOD1/TPX2/BIRC5/CCDC69/CENPW/DLGAP5/KIF4A/RACGAP1/TNNT3/VCX",58
